username,comment,date
boynoharawata87,"Quality:qualiti dia biasa Seja tapi oklah dgn harga.
Performance:performance dia baik jugalah

Selama pakai sehari charge cepat abis tapi ok lah still boleh guna. Kalau boleh barang tu jual biarlah ikhlas jangan cincai2 Seja mentang2 barang murah.. Maaf Sya DPT bagi 3 star seja",2023-12-15 20:14:48
lorengrace,Barang sampai dalam keadaan baik semuanya bagus.. sound nye okla nak kata bass kuat blh je.. asal ada suara.. beli utk anak.. anak suka.. 👍,2023-10-19 12:35:55
wu7h9yijvl,"Quality:average

Weight is lighter than original AirPods.
Sound quality is what you paid for. 
Easy to connect. So far so okay since it’s cheap (RM9)",2024-02-07 17:16:44
a*****n,"Performance:padu..bass pon ok laa..
Quality:terbaik

Qualiti padan dgn harga..boleh laa buat dgr lagu..main game pon sedap",2024-01-08 09:24:39
e220ixnd8k,"Performance:Good
Quality:Good

Good product quality very nice and simple packaging thanks",2024-02-25 09:19:03
qvx224xti3,"Performance:good kualiti
Quality:barang bagus

Barang sudah selamat sampai di depan rumah. barang bagus kualiti oke.penghantaran yang cepat sangat berpuas hati terima Kasih seller",2024-02-26 21:58:32
01vtgpp4ln,"Quality:good
Performance:very good

Good quality sound and material. The size is just nice not bulky.",2023-10-16 12:27:24
asqfdsc_wl,"Quality:Good
Performance:Nice

Very great for the price + great performence.",2023-04-15 16:05:24
fathurpaz3li,"Performance:Quality sound okay dan memuaskan

Semuanya okay, ingatkan lambat lagi sampai, sebab kalau ikutkan 24hb, tapi 17hb dah sampai, kira cepat juga lah dari China. Dan amat memuaskan dan berpuas hati je lah",2023-05-17 13:10:44
sohelrana73391,"Performance:good
Quality:white no my choice.....my favourite black

I ame order black.... resive to white",2023-03-23 13:48:51
a*****6,"Quality:good
Performance:stereo sound

Received in good condition. Fast delivery. It to small for me. The sound of music just doesn’t get better. Left and right are functional.",2023-12-22 07:03:52
tigernoty,"Performance:wow
Quality:best

sound best ! harga pun murah tahan lama ni ! i’ll repeat!",2024-03-05 18:56:13
wu7h9yijvl,"Quality:average

Weight is lighter than original AirPods.
Sound quality is what you paid for. 
Easy to connect. So far so okay since it’s cheap (RM9)",2024-02-07 17:16:44
a*****n,"Performance:padu..bass pon ok laa..
Quality:terbaik

Qualiti padan dgn harga..boleh laa buat dgr lagu..main game pon sedap",2024-01-08 09:24:39
e220ixnd8k,"Performance:Good
Quality:Good

Good product quality very nice and simple packaging thanks",2024-02-25 09:19:03
qvx224xti3,"Performance:good kualiti
Quality:barang bagus

Barang sudah selamat sampai di depan rumah. barang bagus kualiti oke.penghantaran yang cepat sangat berpuas hati terima Kasih seller",2024-02-26 21:58:32
01vtgpp4ln,"Quality:good
Performance:very good

Good quality sound and material. The size is just nice not bulky.",2023-10-16 12:27:24
asqfdsc_wl,"Quality:Good
Performance:Nice

Very great for the price + great performence.",2023-04-15 16:05:24
fathurpaz3li,"Performance:Quality sound okay dan memuaskan

Semuanya okay, ingatkan lambat lagi sampai, sebab kalau ikutkan 24hb, tapi 17hb dah sampai, kira cepat juga lah dari China. Dan amat memuaskan dan berpuas hati je lah",2023-05-17 13:10:44
sohelrana73391,"Performance:good
Quality:white no my choice.....my favourite black

I ame order black.... resive to white",2023-03-23 13:48:51
a*****6,"Quality:good
Performance:stereo sound

Received in good condition. Fast delivery. It to small for me. The sound of music just doesn’t get better. Left and right are functional.",2023-12-22 07:03:52
tigernoty,"Performance:wow
Quality:best

sound best ! harga pun murah tahan lama ni ! i’ll repeat!",2024-03-05 18:56:13
nuraeynana,"Performance:sound dia pn best je bunyi..
Quality:best pkai,cntik kecik molek jew..",2023-12-21 17:51:22
smallqueitscenery,"Performance:normal
Quality:normal

Fast delivery
Is a bit dirty when I take out from the box.
Can function fine.
No burble wrap for extra protection so the box is not so good which can't be given out as a gift.",2023-10-28 21:43:43
iqsyyy,Kotak tak secure langsung. Nasib baik terima dalam keadaan baik. Bubble wrap pun takde. Tapi sound airpod ni best. Tak sakit telinga walaupun kita kuatkan volume. Murah tapi berbaloi la pada saya.,2024-02-26 19:34:40
c*****k,"Quality:Terbaik
Performance:Terbaik

Barang dah sampai dalam keadaan baik..pos seminggu jugak la..tapi barang mmg padu..terbaik..👍👍👍",2024-01-29 16:54:42
a*****3,"Quality:ok
Performance:ok

Ok
Berpatutan dengan harga
Bunyi kedua dua
Connection dengan Telefon pun mudah
Recommended dgn harga murah",2023-12-05 09:19:21
b*****l,"Quality:Excellent
Performance:Excellent

I have been using this TWS for a long time, solid bass, clear sound, almost like real Airpods.",2023-11-19 21:25:13
farhanahnadz,"Quality:Nice
Performance:Nice

Sound padu! Tak sure tahan brp lama. Dah la murah dpt harga rm7 je 🥺👍🏻 service laju!",2023-12-27 10:54:55
o182q_w_op,"Quality:good
Performance:memuaskan

Brg dlm keadaan elok(x kotak)
Bunyi padan dengan harga",2024-01-26 11:23:19
k*****6,"Quality:good
Performance:good berdengung oooo telinga

Best.. okay la..seminggu je tunggu then dpt dah barang.. nanti nak repeat lg beli.. harga pun murah",2023-12-17 14:57:05
kamalhzq,"Quality:Ok
Performance:Ok

Earphone dh slmt smpai.. Packaging pn ok... Dh settle  pair dgn hp.. Bunyi ok lar ptt dgn rege.. Tq seller",2023-07-14 16:49:42
nuraeynana,"Performance:sound dia pn best je bunyi..
Quality:best pkai,cntik kecik molek jew..",2023-12-21 17:51:22
smallqueitscenery,"Performance:normal
Quality:normal

Fast delivery
Is a bit dirty when I take out from the box.
Can function fine.
No burble wrap for extra protection so the box is not so good which can't be given out as a gift.",2023-10-28 21:43:43
iqsyyy,Kotak tak secure langsung. Nasib baik terima dalam keadaan baik. Bubble wrap pun takde. Tapi sound airpod ni best. Tak sakit telinga walaupun kita kuatkan volume. Murah tapi berbaloi la pada saya.,2024-02-26 19:34:40
c*****k,"Quality:Terbaik
Performance:Terbaik

Barang dah sampai dalam keadaan baik..pos seminggu jugak la..tapi barang mmg padu..terbaik..👍👍👍",2024-01-29 16:54:42
a*****3,"Quality:ok
Performance:ok

Ok
Berpatutan dengan harga
Bunyi kedua dua
Connection dengan Telefon pun mudah
Recommended dgn harga murah",2023-12-05 09:19:21
b*****l,"Quality:Excellent
Performance:Excellent

I have been using this TWS for a long time, solid bass, clear sound, almost like real Airpods.",2023-11-19 21:25:13
